# data_set 	 label 	 phase_radius	 phase_conc 	 phase_inner	 phase_outer 	 min_kymo 	 max_kymo	 min_phase 	 max_phase
2019-03-15	0	-0.00010454452742220764	0.6722090390298069	0.5624368163715323	0.656921883967861	-6.1	24.9	-6.6	25.9
2019-03-15	1	-0.00031284023493744433	-0.36835160775015996	-0.1698902825364698	-0.8603883890430685	6.1	-52.9	10.1	66.6
2019-03-25	0	0.00018255223956838067	0.459908460177156	1.0207787775206172	0.2612859751712986	115.57000000000001	177.8	-10.16	52.705
2019-03-20	0	0.0005058709741217992	-0.3757791501293774	-0.4079889476694124	-0.4267125067144274	-0.827	-41.35	5.789	-41.35
2019-04-11	0	0.0012037261165880762	0.11656149222655235	0.06405618866092154	0.05964067563626954	-0.9259999999999999	50.004	-4.63	-65.74600000000001
Mirna	0	-0.00032132230614117103	-0.04722721050326528	-0.2339832785447416	-0.22754415150826166	0.0	-36.3	-0.32999999999999996	-69.96
Mirna	1	9.298721474952506e-05	-0.028442086996151278	0.28989156614902584	0.34639105069661613	0.32999999999999996	-34.98	1.3199999999999998	-68.64
Mirna	2	-0.0012658834743565204	-0.28214470019437266	-0.2835725393973968	-0.3076406940048482	-0.9899999999999999	-43.89	6.93	76.89
2019-05-10-2-r	0	-8.22233898833345e-06	0.21919979480091054	0.23211038990785435	0.25597597637947667	-2.538	-50.477999999999994	-6.486	44.556
2019-05-10-2-r	1	0.00011078345776743027	1.0360709143138322	1.246938126408401	0.6979934362810991	-14.663999999999998	30.738	-15.791999999999998	32.994
2019-05-16-r	0	-0.0030208196805728534	0.7932285741407451	0.7206447098375981	-1.4290282304681567	-12.126	-39.762	-12.126	-59.501999999999995
2019-06-20-2-r	0	5.8804008868568757e-05	1.7938015060491344	1.8142807468487128	0.09647661717035505	-32.064	24.214999999999996	-35.403999999999996	-106.546
2019-03-25	0	0.0001910647966927728	0.4599173548041339	1.020783006114835	0.26130830546255746	115.57000000000001	53.339999999999996	-10.16	52.705
2019-06-20-2-r	0	-0.0002558672299649662	1.7955342053849748	1.8158531283752104	0.09652324038444413	-37.742	28.222999999999995	-35.403999999999996	-106.546
2019-03-25	0	0.0006623024320999944	0.4623174771705731	1.0226830765409627	0.264685408865428	-3.8099999999999996	306.07	-10.16	52.705
